0,abstract,app_name,authors,conclusions,copyrights,doi,journal,keywords,methods,publication_date,pubmed_id,results,title,validation_level
Little Panda's Auto Repair Shop,,,,,,,,,,,,,,
English Listening and Speaking,,,,,,,,,,,,,,
Starfall.com,,,,,,,,,,,,,,
Star Chart,,,,,,,,,,,,,,
My Little Princess: Shops & Stores doll house Game,,,,,,,,,,,,,,
"Monkey Junior: Learn to read English, Spanish&more",,,,,,,,,,,,,,
Pocket Code: Learn programming your own game apps!,,,,,,,,,,,,,,
Cat Simulator - Kitty Cat Run,,,,,,,,,,,,,,
FunnyFood Kindergarten learning games for toddlers,,,,,,,,,,,,,,
My Town: Car Repair - Garage & Mechanic Workshop,,,,,,,,,,,,,,
Kids Numbers and Math FREE,,,,,,,,,,,,,,
Little Panda Fireman,,,,,,,,,,,,,,
My Town : Police Station. Policeman Game for Kids,,,,,,,,,,,,,,
My Town : Beauty contest - Dress Up Game for Girls,,,,,,,,,,,,,,
Fluvsies - A Fluff to Luv,,,,,,,,,,,,,,
Applaydu by Kinder - Free Kids & Toddlers Games,,,,,,,,,,,,,,
ELSA Speak: Online English Learning & Practice App,,,,,,,,,,,,,,
Baby Panda Gets Organized,,,,,,,,,,,,,,
Yasa Pets School,,,,,,,,,,,,,,
My Town: Wedding Day - The Wedding Game for Girls,,,,,,,,,,,,,,
U-Dictionary: Oxford Dictionary Free Now Translate,,,,,,,,,,,,,,
"Coloring Games: Coloring Book, Painting, Glow Draw",,,,,,,,,,,,,,
"Baby Games for 2,3,4 year old kids",,,,,,,,,,,,,,
Kids Educational Game 3 Free,,,,,,,,,,,,,,
Peak – Brain Games & Training,,,,,,,,,,,,,,
Baby Panda World,,,,,,,,,,,,,,
Belajar Mengaji - Learns Quran with Marbel,,,,,,,,,,,,,,
My Town : Beach Picnic Games for Kids,,,,,,,,,,,,,,
ANTON - All-in-one Homeschool - Montessori,,,,,,,,,,,,,,
Vocabulary Builder - Test Prep,,,,,,,,,,,,,,
Toca Life: City,,,,,,,,,,,,,,
Animal Hair Salon Australia - Dress Up & Styling,,,,,,,,,,,,,,
Squla,,,,,,,,,,,,,,
Meow Meow Star Acres,,,,,,,,,,,,,,
"MagTapp- Web Browser, Image Dictionary, PDF Reader",,,,,,,,,,,,,,
Little Panda’s Jewel Adventure,,,,,,,,,,,,,,
Baby Panda's Fashion Dress Up Game,,,,,,,,,,,,,,
Prodigy Math Game,,,,,,,,,,,,,,
Toca Hair Salon 4,,,,,,,,,,,,,,
Writing the alphabet,,,,,,,,,,,,,,
Cinderella - Story Games and Puzzles,,,,,,,,,,,,,,
Toca Kitchen 2,,,,,,,,,,,,,,
Hello English: Learn English,,,,,,,,,,,,,,
Baby Games for 1+ Toddlers,,,,,,,,,,,,,,
Kid-E-Cats Playhouse,,,,,,,,,,,,,,
Princess Computer,,,,,,,,,,,,,,
Little Panda's Dream Castle,,,,,,,,,,,,,,
Painting and drawing game,,,,,,,,,,,,,,
My Town: Stores - Doll house & Dress up Girls Game,,,,,,,,,,,,,,
Words Booster: Learn Languages,,,,,,,,,,,,,,
My Baby Unicorn 2 - New Virtual Pony Pet,,,,,,,,,,,,,,
"Truck games for kids - build a house, car wash",,,,,,,,,,,,,,
Sensory Baby Toddler Learning,,,,,,,,,,,,,,
"Learn German - 15,000 Words",,,,,,,,,,,,,,
My Town : Fashion Show,,,,,,,,,,,,,,
Kids Animals Jigsaw Puzzles ❤️🦄,,,,,,,,,,,,,,
Khan Academy Kids: Free educational games & books,,,,,,,,,,,,,,
Cooking Mama: Let's cook!,,,,,,,,,,,,,,
Learn Alphabet for Kids with Marbel,,,,,,,,,,,,,,
KidloLand Toddler Games & Kids Learning Games,,,,,,,,,,,,,,
Little Panda Policeman,,,,,,,,,,,,,,
Baby Panda's Carnival,,,,,,,,,,,,,,
Mermaids,,,,,,,,,,,,,,
