App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Little Panda's Auto Repair Shop,com.sinyee.babybus.repair,Educational,4.2,21920.0,"10,000,000+",10000000.0,18700124,True,0.0,USD,85M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Jun 15, 2017","Jun 04, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-15 20:24:48
English Listening and Speaking,com.funbox.englishlisteningpractice,Education,4.5,31064.0,"5,000,000+",5000000.0,5251013,True,0.0,USD,17M,4.1 and up,Miracle FunBox,http://speakenglishdaily.com,miraclefunbox@gmail.com,"Feb 9, 2015","Apr 19, 2021",Everyone,http://miracle.a2hosted.com/privacy/elasprivacy.html,True,False,False,2021-06-15 20:26:53
"Arabic English Translator, Dictionary & Learning",com.officail.BritannicaArFreeDict,Education,4.4,31084.0,"5,000,000+",5000000.0,5034066,True,0.0,USD,8.8M,4.0.3 and up,Britannica English Learning & Translation,http://arabic.britannicaenglish.com/,besupport@eb.com,"May 15, 2012","Oct 23, 2017",Everyone,http://corporate.britannica.com/privacy.html,True,True,False,2021-06-15 20:35:50
Learn English with Johnny Grammar's Word Challenge,com.ubl.spellmaster,Education,4.5,33322.0,"1,000,000+",1000000.0,2127044,True,0.0,USD,18M,4.4 and up,British Council,http://learnenglish.britishcouncil.org/apps,learnenglish.mobile@britishcouncil.org,"Apr 8, 2010","Jan 29, 2021",Everyone,https://www.britishcouncil.org/organisation/transparency/policies/information-security-privacy,True,False,False,2021-06-15 20:36:29
Starfall.com,air.com.starfall.more,Education,4.1,23933.0,"5,000,000+",5000000.0,6057439,True,0.0,USD,Varies with device,Varies with device,Starfall Education Foundation,https://www.starfall.com,helpdesk@starfall.com,"Sep 14, 2013","Jun 03, 2021",Everyone,https://teach.starfall.com/lv/info/privacy,False,False,False,2021-06-15 20:46:40
Star Chart,com.escapistgames.starchart,Education,4.5,162820.0,"10,000,000+",10000000.0,12932865,True,0.0,USD,Varies with device,Varies with device,Escapist Games Limited,http://www.escapistgames.com/starchart/instruction_manual.html,scandroid@escapistgames.com,"Dec 20, 2010","Oct 03, 2019",Everyone,https://sites.google.com/site/starchartuserguide/permissions,False,True,False,2021-06-15 20:57:06
My Little Princess: Shops & Stores doll house Game,mylittleprincess.stores.free,Educational,4.3,28100.0,"5,000,000+",5000000.0,9226368,True,0.0,USD,63M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Sep 10, 2019","Jun 02, 2021",Everyone,http://www.my-town.com/privacy-policy/,True,True,False,2021-06-15 21:07:56
"Monkey Junior: Learn to read English, Spanish&more",com.earlystart.android.monkeyjunior,Education,4.3,94411.0,"1,000,000+",1000000.0,3625151,True,0.0,USD,92M,4.1 and up,"Early Start CO.,LTD",http://www.monkeyjunior.com,contact@monkeyjunior.com,"Oct 13, 2014","Feb 09, 2021",Everyone,http://www.monkeyjunior.com/privacy-policy.html,False,True,False,2021-06-15 21:08:39
Pocket Code: Learn programming your own game apps!,org.catrobat.catroid,Education,4.0,20193.0,"1,000,000+",1000000.0,1715955,True,0.0,USD,22M,6.0 and up,Catrobat,https://catrobat.org/,support@catrobat.org,"Aug 27, 2013","Apr 23, 2021",Everyone,https://catrob.at/privacypolicy,False,False,False,2021-06-15 21:11:45
Cat Simulator - Kitty Cat Run,com.greenteagames.catracing3d,Educational,4.2,28009.0,"10,000,000+",10000000.0,15934150,True,0.0,USD,37M,4.4 and up,Green Tea Games,http://www.greenteagames.com,business@greenteagames.com,"May 11, 2017","Mar 25, 2021",Everyone,http://www.greenteagames.com/privacy,True,True,False,2021-06-15 21:14:19
TRT Rüzgar Gülü,com.trtcocuk.ruzgargulu,Educational,4.2,30874.0,"1,000,000+",1000000.0,2617977,True,0.0,USD,102M,4.1 and up,Türkiye Radyo ve Televizyon Kurumu,http://www.trt.net.tr/,trtandroidapps@gmail.com,"Oct 31, 2016","Jun 10, 2020",Everyone,http://www.trt.net.tr/Kurumsal/GizlilikPolitikasi_TRTCocuk.aspx,False,False,False,2021-06-15 21:45:58
FunnyFood Kindergarten learning games for toddlers,com.arrowstar.FunnyFoodsLite,Educational,4.2,29056.0,"10,000,000+",10000000.0,11030949,True,0.0,USD,84M,5.0 and up,Wow Kids,http://wowkids.io,support@wowkids.io,"Sep 30, 2015","Jun 27, 2020",Everyone,http://eruditoplus.com/privacy-policy,True,True,False,2021-06-15 21:47:38
My Town: Car Repair - Garage & Mechanic Workshop,mytown.garage.free,Educational,4.1,27662.0,"5,000,000+",5000000.0,8665449,True,0.0,USD,52M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"May 20, 2020","May 28, 2021",Everyone,https://my-town.com/privacy-policy/,True,True,False,2021-06-15 21:47:51
Kids Numbers and Math FREE,zok.android.numbers,Educational,4.1,31016.0,"5,000,000+",5000000.0,8205962,True,0.0,USD,Varies with device,4.4 and up,Intellijoy Educational Games for Kids,http://www.intellijoy.com,questions@intellijoy.com,,"Dec 04, 2020",Everyone,http://www.intellijoy.com/privacy-policy/,True,False,False,2021-06-15 21:59:24
Little Panda Fireman,com.sinyee.babybus.fireman,Educational,4.0,21201.0,"10,000,000+",10000000.0,10413047,True,0.0,USD,56M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Jun 26, 2014","Feb 21, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-15 22:01:39
Learn Korean - Grammar,com.appcool.learnkorean,Education,4.6,87183.0,"1,000,000+",1000000.0,2336527,True,0.0,USD,52M,4.1 and up,InnovationApps,https://add-ads-713577.firebaseapp.com/app-ads.txt,testpro.contact@gmail.com,"Nov 27, 2015","May 02, 2021",Everyone,https://sites.google.com/site/inovationappss/,True,False,False,2021-06-15 22:05:13
My Town : Police Station. Policeman Game for Kids,mytown.police,Educational,4.1,143565.0,"10,000,000+",10000000.0,31727323,True,0.0,USD,50M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Jul 23, 2015","May 27, 2021",Everyone,http://www.my-town.com/privacy-policy/,True,True,False,2021-06-15 22:08:39
My Town : Beauty contest - Dress Up Game for Girls,mytown.beautycontest.free,Educational,4.2,80751.0,"10,000,000+",10000000.0,19952549,True,0.0,USD,51M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Mar 25, 2019","May 28, 2021",Everyone,http://www.my-town.com/privacy-policy/,True,True,False,2021-06-15 22:11:03
Memory Games: Brain Training,com.memory.brain.training.games,Educational,4.2,73506.0,"5,000,000+",5000000.0,5722861,True,0.0,USD,18M,4.4 and up,Maple Media,http://www.maplemedia.io/,contact@maplemedia.io,"Feb 2, 2016","Oct 07, 2020",Teen,http://www.maplemedia.io/privacy/,True,True,False,2021-06-15 22:13:00
Fluvsies - A Fluff to Luv,com.tutotoons.app.fluvsies.free,Educational,4.4,149667.0,"10,000,000+",10000000.0,36894606,True,0.0,USD,75M,4.4 and up,TutoTOONS,https://www.tutotoons.com,support@tutotoons.com,"Apr 1, 2020","Jun 10, 2021",Everyone,https://tutotoons.com/privacy_policy/embeded,True,False,False,2021-06-15 22:13:20
Applaydu by Kinder - Free Kids & Toddlers Games,com.ferrero.applayduGP,Educational,4.3,34611.0,"5,000,000+",5000000.0,8351385,True,0.0,USD,177M,5.0 and up,Ferrero Trading Lux S.A.,,contact@applaydu.com,"Dec 14, 2020","Apr 15, 2021",Everyone,https://applaydu.kinder.com/static/public/docs/app/en/pp/pp-0.0.1.html,False,False,False,2021-06-15 22:13:37
ELSA Speak: Online English Learning & Practice App,us.nobarriers.elsa,Education,4.6,206757.0,"5,000,000+",5000000.0,8394830,True,0.0,USD,27M,4.2 and up,ELSA,http://www.elsanow.io,support@elsanow.io,"Feb 1, 2016","Jun 11, 2021",Everyone,https://www.elsanow.io/privacy,False,True,False,2021-06-15 22:14:38
Baby Panda Gets Organized,com.sinyee.babybus.organized,Educational,4.2,32064.0,"10,000,000+",10000000.0,18573864,True,0.0,USD,78M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Jan 13, 2013","May 29, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-15 22:36:43
Yasa Pets School,com.yasapets.school,Educational,4.3,25058.0,"5,000,000+",5000000.0,5522066,True,0.0,USD,30M,4.1 and up,Yasa Ltd,http://www.yasapets.com,support@yasapets.com,"Aug 25, 2018","Oct 15, 2018",Everyone,https://www.yasapets.com/privacy-policy/,True,False,False,2021-06-15 22:46:02
Brain Battle - Make Money Free,com.winrgames.brainbattle,Educational,4.4,32235.0,"1,000,000+",1000000.0,1807725,True,0.0,USD,73M,5.0 and up,WINR Games Inc,http://www.winrgames.com,contactus@winrgames.com,"Dec 21, 2016","Apr 16, 2021",Everyone,https://www.winrgames.com/wgw/policy,True,False,False,2021-06-15 23:09:55
My Town: Wedding Day - The Wedding Game for Girls,mytown.wedding.free,Educational,4.2,46716.0,"10,000,000+",10000000.0,11984576,True,0.0,USD,50M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Oct 6, 2020","May 27, 2021",Everyone,https://my-town.com/privacy-policy/,False,True,False,2021-06-15 23:14:42
Quizizz: Play to learn,com.quizizz_mobile,Education,4.7,111836.0,"5,000,000+",5000000.0,7307110,True,0.0,USD,38M,4.4 and up,Quizizz Inc.,https://quizizz.com,support@quizizz.com,"Sep 11, 2017","Apr 16, 2021",Everyone,https://quizizz.com/privacy,False,False,False,2021-06-15 23:18:27
