app_name,suggested_apps
L,Farm Friends
i,Dr. Panda Town
t,Baby Panda: Care for animals
S,Dr. Panda Town
t,Doctor Kids 2
a,"Homework Help App | Scan Question, Get Answer"
M,Pinkfong Baby Shark
y,Princess Computer
 ,Educational Games for Kids
M,Doctor Kids 2
o,Star Chart
n,Baby Panda: Care for animals
P,"Learn German - 15,000 Words"
o,Hello English: Learn English
c,Learn Hebrew. Speak Hebrew
C,Peak – Brain Games & Training
a,Lumosity: Brain Training
F,Educational Games 4 Kids
u,Mermaids
n,Bubbu School - My Cute Pets | Animal School Game
M,"Homework Help App | Scan Question, Get Answer"
y,Doctor Kids 2
 ,Farm Friends
K,Baby Panda World
i,Baby Panda Care 2
d,Baby Panda Care
L,Baby Panda Care 2
i,Writing the alphabet
t,Baby puzzles
M,Animal Jam
y,Preschooler World
 ,Sensory Baby Toddler Learning
M,Kid-E-Cats. Educational Games
y,Animals Farm For Kids
 ,Pinkfong Baby Shark
F,Toca Life: City
l,Cooking School: Games for Girls
A,Math Games for kids of all ages
p,Kid-E-Cats Playhouse
p,Baby puzzles
E,Kids School - Games for Kids
L,Hello English: Learn English
S,"Learn English - 15,000 Words"
B,English for Kids - Kids Games
a,Airport Adventure 2
b,Baby Panda World
Y,Peak – Brain Games & Training
a,Lumosity: Brain Training
M,Animals Farm For Kids
y,Educational Games for Kids
 ,Coloring & Learn
U,Hello English: Learn English
-,English Listening and Speaking
D,English Quiz [Eigomonogatari]
C,Tailor Kids
o,Mermaids
l,Educational Games 4 Kids
B,Princess Computer
a,Bubbu School - My Cute Pets | Animal School Game
b,Educational Games 4 Kids
B,Pinkfong Baby Shark
e,Princess Computer
l,Coloring & Learn
M,Kids Educational Game 3 Free
y,Baby Panda Care
 ,Math Games for kids of all ages
A,Preschool and Kindergarten Learning Games
N,Baby Panda Care 2
T,Little Panda Policeman
V,English Listening and Speaking
o,Hello English: Learn English
c,Kids School - Games for Kids
A,Animals Farm For Kids
n,Kids Educational Game 5
i,Pinkfong Baby Shark
S,Star Chart
q,Doctor Kids 2
u,Baby Games for 1+ Toddlers
M,Kid-E-Cats. Educational Games
e,Pinkfong Baby Shark
o,Educational Games for Kids
M,Math Games for kids of all ages
a,Halloween Makeup Me
g,Baby Panda Care 2
L,Kid-E-Cats Playhouse
i,Little Panda Policeman
t,Airport Adventure 2
B,Educational Games 4 Kids
a,Tailor Kids
b,Coloring & Learn
P,Farm Friends
r,Baby Panda: Care for animals
o,Star Chart
T,Educational Games 4 Kids
o,Coloring & Learn
c,Princess Computer
C,Animals Farm For Kids
i,Kid-E-Cats. Educational Games
n,Tailor Kids
T,Cooking School: Games for Girls
o,Toca Life: City
L,Multiplication table. Learn and Play!
i,Preschool and Kindergarten Learning Games
t,Kid-E-Cats Playhouse
P,Princess Computer
a,Animals Farm For Kids
i,Mermaids
M,Pinkfong Baby Shark
y,Educational Games 4 Kids
 ,Kids Educational Game 5
W,Hello English: Learn English
o,Learn Japanese - Language & Grammar Learning
r,Kids School - Games for Kids
M,Kids Educational Game 5
y,Princess Computer
 ,Pinkfong Baby Shark
T,Peak – Brain Games & Training
r,Lumosity: Brain Training
M,PBS KIDS Games
y,Educational games for kids
 ,Animals Farm For Kids
K,Little Panda Policeman
i,Preschool and Kindergarten Learning Games
d,Math Games for kids of all ages
K,Piano Academy - Learn Piano
h,Lingokids - A fun learning adventure
a,Simply Piano by JoyTunes
C,Cooking School: Games for Girls
o,Toca Life: City
L,Lingokids - A fun learning adventure
e,Learn Languages with Music
a,"Baby Phone - Games for Family, Parents and Babies"
K,Learn Languages with Music
