App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time,Description,Reviews,Learning_category,Age_range
My Town : Police Station. Policeman Game for Kids,mytown.police,Educational,4.1,143565.0,"10,000,000+",10000000.0,31727323,True,0.0,USD,50M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Jul 23, 2015","May 27, 2021",Everyone,http://www.my-town.com/privacy-policy/,True,True,False,2021-06-15 22:08:39,"With My Town 's Police station it is your time to become a policeman or of course a police woman, a detective and even a crook. Adventure and fun can be found all around the police station. Check out the Police car, take it for a ride, Help the detective solve mysteries and do everything that policeman and policewoman do at the station! Everything is possible in this highly interactive imagination game for children.

FEATURES
 Lots of new characters to play with, including Both a police man, policewoman, detective crooks and many more.
Huge game pack including 7 different locations  around the police station to explore such as Jail, Police dog training yard and the Safe !
 Over 300 different accessories and  clothing to interact and play with!
Game connects to other My Town games. Move characters and items between all our games for an even bigger adventure
Multitouch feature added , Play with your friends and family on the same device!

WHAT IS MY TOWN ALL ABOUT?
My Town games are all about experiencing, imagining and having pure playtime fun. Our digital doll house games allow million’s of kids to have a new and fun adventure everyday! Our games promote imagination and stress free fun game play for kids. 

RECOMMENDED AGE GROUP
Kids 4-12: My Town games are safe to play even when parents are out of the room. Younger kids will enjoy playing together with  parents  while the older kids can play alone or with a friend using our new multitouch feature! 

Just think about all the great stories and adventures around the police station with so many characters such as police man, crocks and of course the entire My Town family characters. 
ABOUT MY TOWN
The My Town Games studio designs digital dollhouse-like games that promote creativity and open ended play for your children all over the world. Loved by children and parents alike, My Town games introduce environments and experiences for hours of imaginative play. The company has offices in Israel, Spain, Romania and the Philippines. For more information, please visit www.my-town.com or visit us on the MY TOWN Facebook page and twitter!",73845,shape,children
My Town : Beauty contest - Dress Up Game for Girls,mytown.beautycontest.free,Educational,4.2,80751.0,"10,000,000+",10000000.0,19952549,True,0.0,USD,51M,4.4 and up,My Town Games Ltd,http://www.my-town.com,info@my-town.com,"Mar 25, 2019","May 28, 2021",Everyone,http://www.my-town.com/privacy-policy/,True,True,False,2021-06-15 22:11:03,"<b>Dress up & impress the judge with a cute outfit & elegant hairstyle to be the next beauty queen</b>

Calling all aspiring stylists and fashion lovers! If you and your child enjoy fashion, dress up games, and styling her favorite dolls, <b>My Town: Beauty Contest</b> is the perfect Dress up game for your baby girl. There are six different locations to explore as you dress up and style your favorite characters to compete and win the pageant. Then, in the main showroom, you design the show!

 Of course, no beauty contest is complete without a stage, and you can choose from over 400 items to create the perfect backdrop. Once the stage is set, it’s time to visit the flower shop to customize over 60 different floral decorations. You can even choose the music to be played during the show!

Once everything is ready for the big show, have your contestant begin their spa day in the <b>My Town hair salon</b> so they can get their hair done by the best hairstylist in the industry. 

So many hairstyles to choose from! After hair comes makeup! Our My Town makeup artists are ready to treat you to facial treatments so you will look flawless.

Almost showtime, but first, you have to visit the clothing store, pick the perfect outfit from over 50 fashion choices, and dress up your contestant to win the beauty contest in this fashion and dress up game.

But wait! You can’t be on the cover of the My Town beauty magazine without having a photoshoot! Select from various backgrounds, then choose your magazine cover and print out a poster for your pageant contestant. Don’t forget to hang the posters all over to promote your winner!

<b>My Town Dress Up Game for Girls Features</b>💄👗

<b>Fourteen characters</b> to choose from, including contestants, fashion store staff, stage managers, and more!
<b>Six locations</b> to dress up and explore, including a closet, makeup room, hair salon, flower shop, and main stage.
<b>More than 50 fashion outfits</b> to choose from for the beauty contests
<b>Create the perfect beauty contest backdrop</b> with over 400 different options
<b>Imagine & create the ideal floral environment</b> with over 60 different decor options
<b>Hairstyle and spa options for your beauty queen</b>

If you can imagine it, you can make it. Everything is possible in this Dress up for girls! Finally, a beauty game made for all girls to enjoy.

Recommended Age Group
Kids 4-12: All My Town games are safe to play even when parents are out of the room. Younger girls can run the show together with their parents, while older girls can play alone.

About My Town
The My Town Games studio designs digital dollhouse games that promote creativity and open-ended play for your children worldwide. Loved by children and parents alike, My Town games introduce environments and experiences for hours of imaginative play. The company has offices in Israel, Spain, Romania, and the Philippines. For more information, please visit www.my-town.com",48518,creativity,children
Fluvsies - A Fluff to Luv,com.tutotoons.app.fluvsies.free,Educational,4.4,149667.0,"10,000,000+",10000000.0,36894606,True,0.0,USD,75M,4.4 and up,TutoTOONS,https://www.tutotoons.com,support@tutotoons.com,"Apr 1, 2020","Jun 10, 2021",Everyone,https://tutotoons.com/privacy_policy/embeded,True,False,False,2021-06-15 22:13:20,"Welcome to the sweet and dreamy world of Fluvsies — extremely fuzzy and ultra cute pets! Take care of these little pets and collect them all! Play Fluvsies — a super cute virtual pet care game for girls and boys!

<b>NEW! Pet Fashion Salon</b>
Now you can dress up your cute virtual pets in stylish outfits! Choose among tons of cute dresses and accessories and turn Fluvsies into real pet fashionistas. Explore cute make up options for pets - customize eyebrows, apply eyeshadow and mascara, color the Fluvsies noses, choose the cute blush!

<b>NEW! Pet Cafe </b>
Fluvsies love cooking games! Visit all new cafes in town, unlock new recipes and cook the best dishes for your pets! Get a cute birthday cake by completing cafe levels - give it to your Fluvsies pets to celebrate! 

<b>Hatch & Care </b>
Did you know that these cute pets hatch from surprise eggs? Just put two Fluvsies into a magic merge machine, get a new egg and wait for it to hatch. Every little pet is a big surprise!

<b>Collect All Pets </b>
There are 22 different Fluvsies pets to collect! Each little pet is unique, but all of them love magic, candy and playing with kids toys! Every boy and girl will find their fave animal! Collect all Fluvsies virtual pets: from cute pink cats to little rainbow unicorns!

<b>Play & Have Fun </b>
Make sure you are taking good care of your virtual pets — they are just like little kids! Feed your pocket pets and keep them entertained: play with toys, DIY together and discover mini games for kids!

Play Fluvsies, the cutest virtual pet care game for kids, and hatch all little animals!

- - - - - - - - - - - - - - - - - - - - - - - -

About TutoTOONS Games for Kids
Crafted and play-tested with kids and toddlers, TutoTOONS games foster kids’ creativity and help them learn while playing the games they love. Fun and educational TutoTOONS games strive to bring meaningful and safe mobile experiences to millions of children worldwide.

Important Message to Parents
This app is free to download and play, but there may be certain in-game items that can be purchased for real money. By downloading this app you agree to TutoTOONS Privacy Policy and Terms of Use.

Discover More Fun with TutoTOONS!
· Subscribe to our YouTube channel: https://www.youtube.com/c/tutotoonsofficial
· Learn more about us: https://tutotoons.com
· Read our blog: https://blog.tutotoons.com
· Like us on Facebook: https://www.facebook.com/tutotoonsgames
· Follow us on Instagram: https://www.instagram.com/tutotoons/",98990,food,children
"Baby Games for 2,3,4 year old kids",com.happytools.learning.kids.games,Educational,4.6,148680.0,"10,000,000+",10000000.0,13676475,True,0.0,USD,57M,4.4 and up,Bebi Family: preschool learning games for kids,http://bebi.family/,info@bebi.family,"Jul 17, 2019","May 19, 2021",Everyone,http://bebi.family/privacy-policy/,False,True,False,2021-06-15 23:29:33,"<b>15 games for 2,3,4 year olds</b>. <font color=""red"">Keep your toddlers occupied with 15 different educational baby games</font>, which will help them learn and improve their skills while having a great fun. 

Preschool games give our babies lots of interactive learning time, so they: 
<b>learn, develop skills and have fun</b> at the same time, the three main activities of early childhood, integrated into a single app, with 5 free baby games and more coming soon.

Kids will learn colors, shapes and follow through simple thematic stories. Like caring for cute animals, or sorting things by size, color and shapes.

Planned and tested by child development experts for kids of kindergarten age, mainly for 2, 3 and 4 year old boys and girls. <b>Simple interface and gameplay, with timely hints</b> will ensure that your kid will never get confused or ""lost"" in the game. 
Additionally all the settings and outbound links are <b>protected and inaccessible for babies.</b>

Please support us by writing reviews if you like the app and let us know about any issue or suggestions too.
This toddler games app is <b>completely free and without any ads</b>, enjoy your time with your kids!",129997,creativity,children
Baby Panda World,com.sinyee.babybus.world,Educational,4.4,239016.0,"50,000,000+",50000000.0,70957986,True,0.0,USD,79M,4.4 and up,BabyBus,http://www.babybus.com,sinyeeandroid@gmail.com,"Nov 10, 2019","Apr 07, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-15 23:47:28,"Baby Panda World is a collection of all the popular apps of BabyBus! All of your favorite content can be found here! Can't wait to explore a world that belongs to you? Let's create your own story!

EXPLORATION OF THE 100 AREAS
There are 100 fun areas in Baby Panda World! You can enjoy shopping in the supermarket or going to the movies. Want to go to the amusement park? Plenty of entertainment facilities are waiting for you! 

Or pack your luggage and set off on a journey from the airport! You may arrive at a coastal city through deserts and glaciers. Explore the beachfront hotel, the ice cream shop...Have a wonderful time! 

ROLE PLAY AS YOU DESIRE
Which role would you like to play? Policeman, doctor, chef, pilot, and more. You can play any role you like in Baby Panda's World! 

If you like dressing up, turn into a stylist and create stylish looks for your princess or pet. Do you fancy farm life? Raise farm animals, and plant fruits and vegetables. Become a super farmer! 

START ENDLESS ADVENTURES
Little adventurer, are you ready? Go through the jungles and fight against witches; out to the sea and beat the pirates. Embark on a journey of adventure at Baby Panda World! 

You can also travel back in time to the Jurassic period and visit the dinosaur kingdom, or go underground to help rabbits hide from enemies. Realize your adventure dreams with these fun experiences! 

There is new content available every week at Baby Panda's World. Feel free to explore this world at any time and enjoy every moment of fun! 

FEATURES:
- This APP features more than 80 popular BabyBus products. 
- Play with popular BabyBus characters and create your own story. 
- Learn about 8 major fields of knowledge: science, painting, music, math, language, emotional intelligence, health, and society. 
- 100 areas to be explored: kindergarten, town, jewelry store, dream castle, dinosaur world, enchanted forest, and more. 
- Play different roles: astronaut, archaeologist, athlete, little captain, convenience store manager, little painter, and more. 
- Endless adventures await you: treasure hunt, deep-sea rescue, maze challenge, space exploration, time travel, and more. 
- New fun contents available every week.

About BabyBus
—————
At BabyBus, we dedicate ourselves to sparking kids' creativity, imagination and curiosity,and designing our products through the kids' perspective to help them explore the world on their own.

Now BabyBus offers a wide variety of products, videos and other educational content for over 400 million fans from ages 0-8 around the world! We have released over 200 children's educational apps, over 2500 episodes of nursery rhymes and animations of various themes spanning the Health, Language, Society, Science, Art and other fields.

—————
Follow us : https://www.facebook.com/BabyPandaWolrd
Contact us: babypandaworld@babybus.com
Visit us: http://www.babybus.com",153781,counting,babies
Meow Meow Star Acres,jp.colopl.nyankous,Educational,4.5,135497.0,"1,000,000+",1000000.0,3569036,True,0.0,USD,37M,4.0 and up,"COLOPL, Inc.",http://colopl.co.jp/en/,meowmeow@p.cs.colopl.jp,"Mar 27, 2014","Sep 07, 2015",Everyone,http://colopl.co.jp/app/privacypolicy/hoshinyan/en.html,False,True,False,2021-06-16 01:21:25,"<font color=""#e46b8b""><b>★☆Meow Meow Star Acres was chosen among the Best Games of 2014 on Google Play™☆★</b></font>

<font color=""#20ace7""><b>Meow Meow Star Acres</b></font> is an <font color=""#63a54f""><b>island simulation game</b></font> that can be played by simply swiping the screen. The gameplay is simple and intuitive so children and adults can both enjoy it.

Explore Star Acres and help the cats cultivate the fields and raise farm animals. You can use your crops to make butter, bake a cake, and learn all kinds of other recipes. Share the food you make with your feline friends and they will give you coins and stars. You can then buy new tools and decorations with your coins to make your island unique!

The cats in Star Acres cannot wait to spend time with you!

-----
Meow Meow Star Acres Official Facebook Page:
https://www.facebook.com/MeowMeowStarAcresOFCL
-----

FEATURES

■Just swipe the screen
Not only adults, but small children can play as well. Gathering all your crops with one drag of the finger is effortless!
■Watch the cute cats as they work and play
They cultivate the fields, cook, skip work, and sometimes get angry. Just try to resist their cute mannerisms!
■Learning recipes is fun
Baking cakes, squeezing juice, making cheese . . . When you level up, the cats learn a new recipe!
■Experience their heartwarming island lifestyle
Till the fields, raise chickens and cows, and make your island beautiful. This warm, laid-back paradise is waiting for you!
■Sail to other islands
Hop on a ship to visit and explore your friends' islands. If you are lucky, you may even find items there!
■Android tablet compatibility
■Can transfer data
Recover your game data or transfer it to a new phone by way of advanced user registration.
■Safety measures to prevent accidental in-game purchases
■Can be played offline
Only certain features require a network connection.

-----
Meow Meow Star Acres is free to download. No complicated registration is required!
-----

-Presented by COLOPL, Inc.-",40773,creativity,children
Baby Panda's Fashion Dress Up Game,com.sinyee.babybus.tailor,Educational,4.3,154711.0,"50,000,000+",50000000.0,76954454,True,0.0,USD,76M,4.2 and up,BabyBus,http://www.babybus.com,ser@babybus.com,"Oct 3, 2018","Mar 11, 2021",Everyone,http://en.babybus.com/index/privacyPolicy.shtml,True,True,False,2021-06-16 01:41:59,"Kiki's fashionable clothing store is now open for business! An enthusiast for fashion design, you must come and help him!

Choosing clothes: Dresses, T-shirts, hats, shoes... Which outfit would the customer like?
Learning skills: Cutting, sewing, knitting, and filling, learn different skills to make clothes.
Designing styles: There are more than 20 accessories here. Tap on the Accessories to make the clothes look even more beautiful!
Greeting customers: Give customers the clothes you made. They are really pleased and are ready to pay!

Product characteristics: 
1. Freely design clothes, with no rules or limits; 
2. Easy-to-follow instructions, help you learn how to make clothes;
3. Creative matches, foster children's sense of style.

About BabyBus
—————
At BabyBus, we dedicate ourselves to sparking kids' creativity, imagination and curiosity,and designing our products through the kids' perspective to help them explore the world on their own.

Now BabyBus offers a wide variety of products, videos and other educational content for over 400 million fans from ages 0-8 around the world! We have released over 200 children's educational apps, over 2500 episodes of nursery rhymes and animations of various themes spanning the Health, Language, Society, Science, Art and other fields.

—————
Contact us: ser@babybus.com
Visit us: http://www.babybus.com",87788,creativity,babies
Cinderella - Story Games and Puzzles,com.hedgehogacademy.cinderellafree,Educational,4.2,62046.0,"1,000,000+",1000000.0,4795545,True,0.0,USD,56M,4.4 and up,LADistribution,http://ladistribution.com/,support@ladistribution.com,"Aug 8, 2014","Mar 22, 2021",Everyone,http://ladistribution.com/privacy-policy/,True,True,False,2021-06-16 02:02:47,"The most beloved of all fairy tales, Cinderella is not just a story anymore! It has now become a perfect way to train cognitive processes in your girl while at the same time she can have so much fun! Cinderella girl games for 10 year olds and under are a beautiful way for a young lady to improve her memory and spatial intelligence as well as reading and comprehension abilities.

Why parents and children love this game so much?

💚 it’s carefully designed and strongly recommended by a team of professional child psychologists
❤️ it has grown into one of the most popular girl games, played by more than 1 million girls from all around the globe
🧡 it will train the memory, logic, attention and other brain functions of your child 
💛 it’s completely safe to use


It’s also worth mentioning that this cool game for girls has been translated to 15 languages: English, Russian, German, French, Spanish, Portuguese, Italian, Dutch, Japanese, Swedish, Danish, Norwegian, Polish, Czech, and Turkish.

What’s inside?

💠 2 game modes: Story and Mini Games
💠 65 beautifully designed Story episodes
💠 13 gorgeous and beneficial Mini Games with 4 levels of difficulty
💠 brilliantly composed music
💠 challenging and thrilling puzzles
💠 the magnificent and charming visual style
💠 diverse content for hours of fun


What Mini Games include?

▶️ Wedding Cake
▶️ Pairs
▶️ Jigsaw Puzzle
▶️ Maze
▶️ Cinderella’s Dress
▶️ Sudoku
▶️ Who Danced with Whom?
▶️ Find All Objects
▶️ Error in the Pattern
▶️ Going for a Visit
▶️ What Was There and What Wasn’t?
▶️ Fruit or Vegetable?
▶️ Wrong Dancer

This rare diamond among the girl games for 10 year olds and under has gained over 1 million satisfied players from all over the world. Inside you will also find a bunch of memory games and puzzles that your girl will love to solve. Make her dreams come true with this all-time classic, The Cinderella - Story Games for Girls!",25237,creativity,children
Toca Kitchen 2,com.tocaboca.tocakitchen2,Educational,4.2,1550126.0,"100,000,000+",100000000.0,153769168,True,0.0,USD,30M,4.4 and up,Toca Boca,http://www.tocaboca.com,support@tocaboca.com,"May 25, 2015","Feb 15, 2021",Everyone,http://www.tocaboca.com/privacy,True,False,False,2021-06-16 02:05:10,"Do you want to be the head chef of your very own sushi restaurant? Check out Toca Kitchen Sushi, the newest app from Toca Boca 👉 http://bit.ly/TocaKitchenSushi_GooglePlay 

The wildly popular Toca Kitchen is back! With new guests to cook for, more tools to play with and new food combinations to test out, Toca Kitchen 2 invites all chefs to get messy and start playing!

GET CREATIVE
Who said dishes have to be pretty and tasty? In Toca Kitchen 2 you can cook however you want! Juice tomatoes, boil the salad or make a burger. Come up with your very own recipes and treat your guests to something special.

MAKE A MESS
With six different kitchen tools to choose from, you have the perfect setup for preparing fun foods! Load up with your favorite ingredients, add a squeeze of messiness and finish off with a pinch of weirdness. Time to let your guest have a bite! Was it a winner? 

WATCH THEIR REACTIONS
Discover your guests’ preferences by watching their reactions. Oven-baked fish head with fried leftovers and lettuce juice coming right up! Oh, they didn’t like it? Try adding some salt. It’s fun to get the “ew”!

We added a whole lot of fun stuff! You can now enjoy cooking:

New foods!
- Chicken
- Prawn
- Pineapple
- Corn
- Peach
- Strawberry
- Watermelon 
- Onion
- Octopus
- Spaghetti
- Rice

New condiments!
- Ketchup
- Dressing
- Soy

Watch the characters react to spicy hot sauce and sour lemons or and laugh at loud burps. 

At last but not least, we added more levels of grossness to the characters. Have fun!

Features:
- New ingredients in the fridge
- New characters to feed
- Stronger character reactions
- New juicer and oven
- Deep fryer! You can now deep fry anything. Get your crust on.
- No rules or stress - just open-ended, kid-directed fun!
- No third-party advertising
- No in-app purchases

What are you waiting for? Get in the kitchen and start cooking!

Toca Kitchen 2 is a free cooking app for kids that’s perfect for aspiring chefs. Kids can roleplay a chef in a kitchen full of tasty foods and ingredients! Learn how to cook your favorite dish or experiment with fun combinations to feed hungry customers. This fun cooking app is sure to deliver nothing but fun for kids!

There’s no time limits or rules, right or wrong, so explore all the ingredients and tools the kitchen has to offer! Cook up some crazy food and feed your guests. 

***

Subscribe to our YouTube channel!
http://bit.ly/YouTube_GooglePlay

***

ABOUT TOCA BOCA
At Toca Boca, we believe in the power of play to spark kids’ imaginations and help them learn about the world. We design our products from the kids' perspective to empower kids to be playful, to be creative and to be who they want to be. Our products include award-winning apps that have been downloaded more than 130 million times in 215 countries and offer fun, safe, open-ended play experiences. Learn more about Toca Boca and our products at tocaboca.com.

PRIVACY POLICY
Privacy is an issue that we take very seriously. To learn more about how we work with these matters, please read our privacy policy: http://tocaboca.com/privacy",747376,food,children
"Truck games for kids - build a house, car wash",com.gokids.transportbuilding,Educational,4.1,150545.0,"100,000,000+",100000000.0,114808798,True,0.0,USD,103M,4.4 and up,GoKids!,http://gokidsmobile.com/,toplinesolutionsltd@gmail.com,"Oct 16, 2018","Jun 02, 2021",Everyone,http://gokidsmobile.com/privacy-policy/,True,True,False,2021-06-16 02:54:02,"Trucks for kids - build a house - building game where toddlers learn different types of trucks and how to build a house, arbor, mill and even swimming pool.

These games for free not only games for boys, but also for girls. If your kids are fond of cars and big trucks or anything connected with building games thematic they will be crazy of these cool tractor and trucks games for toddlers for free! Go through all engrossing levels of game and get your house, swimming pool and arbor done in the finish of one of the best building game for toddlers! You will find here many types of construction games machinery  like trucks, tractor simulator, excavator, bulldozer and many others.

CONSTRUCT and RIDE your very own construction transport is fairly easy right now! Build cool vehicles with just a few touches and then make a house and a swimming pool. First above you have to build your own transport, then fill trucks for kids with gas on the gas station and then go to the 🔨 house building games where you can build your dream house with the help of cars! After these free games you will have to wash your transport truck game in the car wash. Move from level to level you will know how to build a house and soon your dream house will be done!

Here you can find many types of different vehicles and lori for your child puzzle free games for boys how to build a house and play with! There is a lot of different trucks for kids to learn about construction! Teach your child basics of cars mechanics! All the transport with tractor and car games for kids is just like in real life - that’s good for education!

-CAR WASH!

Your truck got dirty after hours of building the house? No problem! Go to car wash, soap it with bubbles in free kids games, roll it through with soft brushes while learning trucks for toddlers and build house, clean it with water and dry it off so your car will shine clean in a car games for free building a house! It’s really fun for kids games to play in car wash games for kids 3 years for free!

-GAS STATION!

Fuel of your truck is low? Never mind because in  truck games for kids you can fuel your transport on the gas station. At first find where to connect fueling nose to fill the trucks with the gas. Press the button and watch your car's fuel level rising up!

If you`re an adult and busy, you can simply give your smartphone or tablet with various learning games with the house building game installed and construction vehicles, to your toddler so he will be busy with it for hours of having fun! But your baby will not only be passionate about tractor games for toddlers, but also will learn some things in game for kids 3 year old!

Voice-over: 10 different professionally recorded voice-overs, including languages like: English, Deutsch, Espanola, Russian, Turkish, Portuguese, Chinese, Arabian, and Hindi! Graphics is brilliant and colorful car games for toddlers, our designers worked hard on these truck games for kids! We`ve also cared about security of trucks for kids, so it won’t be so easy for your child to buy something in game, while you are not looking after him.

This game will be perfect for your 2-5 years old kid, if he likes tractor games, car sounds, house building games. 

Also we recommend you to view some others childrens games for boys those we created, they are fun not less than that one! :)

Contact us at feedback.gokids@gmail.com we will be happy to hear some feedback from you!",67888,sport,children
